publishTime,gsp_id,import_export_mw,wind_generation_mw
2025-11-10 02:17:00+00:00,B8,-5569.5,0.0
2025-11-10 02:17:00+00:00,B9,-7672.0,0.0
2025-11-10 02:17:00+00:00,N,-19134.6,0.0
2025-11-10 01:47:00+00:00,B1,-96.0,0.0
2025-11-10 01:47:00+00:00,B10,-1437.5,0.0
2025-11-10 01:47:00+00:00,B11,-3288.0,0.0
2025-11-10 01:47:00+00:00,B12,-2984.3,0.0
2025-11-10 01:47:00+00:00,B13,-599.5,0.0
2025-11-10 01:47:00+00:00,B14,-2098.5,0.0
2025-11-10 01:47:00+00:00,B15,-848.3,0.0
2025-11-10 01:47:00+00:00,B16,-4083.9,0.0
2025-11-10 01:47:00+00:00,B17,-1307.0,0.0
2025-11-10 01:47:00+00:00,B2,-211.6,0.0
2025-11-10 01:47:00+00:00,B3,-120.1,0.0
2025-11-10 01:47:00+00:00,B4,-345.4,0.0
2025-11-10 01:47:00+00:00,B5,-615.1,0.0
2025-11-10 01:47:00+00:00,B6,-1593.0,0.0
2025-11-10 01:47:00+00:00,B7,-2177.9,0.0
2025-11-10 01:47:00+00:00,B8,-5560.3,0.0
2025-11-10 01:47:00+00:00,B9,-7663.2,0.0
2025-11-10 01:47:00+00:00,N,-19080.1,0.0
2025-11-10 01:16:00+00:00,B1,-95.4,0.0
2025-11-10 01:16:00+00:00,B10,-1431.5,0.0
2025-11-10 01:16:00+00:00,B11,-3274.0,0.0
2025-11-10 01:16:00+00:00,B12,-2976.5,0.0
2025-11-10 01:16:00+00:00,B13,-597.5,0.0
2025-11-10 01:16:00+00:00,B14,-2087.5,0.0
2025-11-10 01:16:00+00:00,B15,-840.3,0.0
2025-11-10 01:16:00+00:00,B16,-4074.8,0.0
2025-11-10 01:16:00+00:00,B17,-1300.8,0.0
2025-11-10 01:16:00+00:00,B2,-210.3,0.0
2025-11-10 01:16:00+00:00,B3,-119.7,0.0
2025-11-10 01:16:00+00:00,B4,-343.6,0.0
2025-11-10 01:16:00+00:00,B5,-612.2,0.0
2025-11-10 01:16:00+00:00,B6,-1585.5,0.0
2025-11-10 01:16:00+00:00,B7,-2167.8,0.0
2025-11-10 01:16:00+00:00,B8,-5540.3,0.0
2025-11-10 01:16:00+00:00,B9,-7642.0,0.0
2025-11-10 01:16:00+00:00,N,-19008.8,0.0
2025-11-10 00:46:00+00:00,B1,-94.9,0.0
2025-11-10 00:46:00+00:00,B10,-1425.7,0.0
2025-11-10 00:46:00+00:00,B11,-3264.7,0.0
2025-11-10 00:46:00+00:00,B12,-2968.4,0.0
2025-11-10 00:46:00+00:00,B13,-595.2,0.0
2025-11-10 00:46:00+00:00,B14,-2076.5,0.0
2025-11-10 00:46:00+00:00,B15,-828.3,0.0
2025-11-10 00:46:00+00:00,B16,-4070.0,0.0
2025-11-10 00:46:00+00:00,B17,-1294.1,0.0
2025-11-10 00:46:00+00:00,B2,-209.3,0.0
2025-11-10 00:46:00+00:00,B3,-119.3,0.0
2025-11-10 00:46:00+00:00,B4,-341.9,0.0
2025-11-10 00:46:00+00:00,B5,-609.4,0.0
2025-11-10 00:46:00+00:00,B6,-1581.0,0.0
2025-11-10 00:46:00+00:00,B7,-2161.1,0.0
2025-11-10 00:46:00+00:00,B8,-5515.7,0.0
2025-11-10 00:46:00+00:00,B9,-7615.1,0.0
2025-11-10 00:46:00+00:00,N,-18931.2,0.0
2025-11-10 00:16:00+00:00,B1,-93.9,0.0
2025-11-10 00:16:00+00:00,B10,-1420.3,0.0
2025-11-10 00:16:00+00:00,B11,-3253.0,0.0
2025-11-10 00:16:00+00:00,B12,-2960.8,0.0
2025-11-10 00:16:00+00:00,B13,-593.2,0.0
2025-11-10 00:16:00+00:00,B14,-2065.5,0.0
2025-11-10 00:16:00+00:00,B15,-830.8,0.0
2025-11-10 00:16:00+00:00,B16,-4061.7,0.0
2025-11-10 00:16:00+00:00,B17,-1288.3,0.0
2025-11-10 00:16:00+00:00,B2,-207.7,0.0
2025-11-10 00:16:00+00:00,B3,-118.9,0.0
2025-11-10 00:16:00+00:00,B4,-339.9,0.0
2025-11-10 00:16:00+00:00,B5,-606.4,0.0
2025-11-10 00:16:00+00:00,B6,-1575.0,0.0
2025-11-10 00:16:00+00:00,B7,-2152.6,0.0
2025-11-10 00:16:00+00:00,B8,-5490.4,0.0
2025-11-10 00:16:00+00:00,B9,-7587.3,0.0
2025-11-10 00:16:00+00:00,N,-18869.5,0.0
2025-11-09 23:47:00+00:00,B1,-93.0,0.0
2025-11-09 23:47:00+00:00,B10,-1415.7,0.0
2025-11-09 23:47:00+00:00,B11,-3242.7,0.0
2025-11-09 23:47:00+00:00,B12,-2955.7,0.0
2025-11-09 23:47:00+00:00,B13,-591.4,0.0
2025-11-09 23:47:00+00:00,B14,-2057.1,0.0
2025-11-09 23:47:00+00:00,B15,-821.0,0.0
2025-11-09 23:47:00+00:00,B16,-4054.8,0.0
2025-11-09 23:47:00+00:00,B17,-1283.9,0.0
2025-11-09 23:47:00+00:00,B2,-206.3,0.0
2025-11-09 23:47:00+00:00,B3,-118.5,0.0
2025-11-09 23:47:00+00:00,B4,-338.0,0.0
2025-11-09 23:47:00+00:00,B5,-603.5,0.0
2025-11-09 23:47:00+00:00,B6,-1570.6,0.0
2025-11-09 23:47:00+00:00,B7,-2146.2,0.0
2025-11-09 23:47:00+00:00,B8,-5467.1,0.0
2025-11-09 23:47:00+00:00,B9,-7563.1,0.0
2025-11-09 23:47:00+00:00,N,-18802.7,0.0
2025-11-09 23:17:00+00:00,B1,-92.9,0.0
2025-11-09 23:17:00+00:00,B10,-1408.7,0.0
2025-11-09 23:17:00+00:00,B11,-3233.1,0.0
2025-11-09 23:17:00+00:00,B12,-2946.3,0.0
2025-11-09 23:17:00+00:00,B13,-589.7,0.0
2025-11-09 23:17:00+00:00,B14,-2049.3,0.0
2025-11-09 23:17:00+00:00,B15,-811.2,0.0
2025-11-09 23:17:00+00:00,B16,-4044.0,0.0
2025-11-09 23:17:00+00:00,B17,-1279.5,0.0
2025-11-09 23:17:00+00:00,B2,-205.8,0.0
2025-11-09 23:17:00+00:00,B3,-118.3,0.0
2025-11-09 23:17:00+00:00,B4,-337.2,0.0
2025-11-09 23:17:00+00:00,B5,-602.3,0.0
2025-11-09 23:17:00+00:00,B6,-1566.2,0.0
2025-11-09 23:17:00+00:00,B7,-2140.2,0.0
2025-11-09 23:17:00+00:00,B8,-5447.7,0.0
2025-11-09 23:17:00+00:00,B9,-7538.1,0.0
2025-11-09 23:17:00+00:00,N,-18730.8,0.0
2025-11-09 22:46:00+00:00,B1,-92.5,0.0
2025-11-09 22:46:00+00:00,B10,-1405.5,0.0
2025-11-09 22:46:00+00:00,B11,-3225.8,0.0
2025-11-09 22:46:00+00:00,B12,-2940.6,0.0
2025-11-09 22:46:00+00:00,B13,-588.4,0.0
2025-11-09 22:46:00+00:00,B14,-2044.3,0.0
2025-11-09 22:46:00+00:00,B15,-807.6,0.0
2025-11-09 22:46:00+00:00,B16,-4036.8,0.0
2025-11-09 22:46:00+00:00,B17,-1275.0,0.0
2025-11-09 22:46:00+00:00,B2,-205.6,0.0
2025-11-09 22:46:00+00:00,B3,-118.0,0.0
2025-11-09 22:46:00+00:00,B4,-336.6,0.0
2025-11-09 22:46:00+00:00,B5,-601.3,0.0
2025-11-09 22:46:00+00:00,B6,-1563.7,0.0
2025-11-09 22:46:00+00:00,B7,-2136.1,0.0
2025-11-09 22:46:00+00:00,B8,-5434.8,0.0
2025-11-09 22:46:00+00:00,B9,-7520.8,0.0
2025-11-09 22:46:00+00:00,N,-18687.9,0.0
2025-11-09 22:16:00+00:00,B1,-92.3,0.0
2025-11-09 22:16:00+00:00,B10,-1403.4,0.0
2025-11-09 22:16:00+00:00,B11,-3220.7,0.0
2025-11-09 22:16:00+00:00,B12,-2934.5,0.0
2025-11-09 22:16:00+00:00,B13,-587.5,0.0
2025-11-09 22:16:00+00:00,B14,-2040.5,0.0
2025-11-09 22:16:00+00:00,B15,-812.0,0.0
2025-11-09 22:16:00+00:00,B16,-4035.8,0.0
2025-11-09 22:16:00+00:00,B17,-1272.3,0.0
2025-11-09 22:16:00+00:00,B2,-205.0,0.0
2025-11-09 22:16:00+00:00,B3,-117.8,0.0
2025-11-09 22:16:00+00:00,B4,-335.9,0.0
2025-11-09 22:16:00+00:00,B5,-599.9,0.0
2025-11-09 22:16:00+00:00,B6,-1561.1,0.0
2025-11-09 22:16:00+00:00,B7,-2133.2,0.0
2025-11-09 22:16:00+00:00,B8,-5427.2,0.0
2025-11-09 22:16:00+00:00,B9,-7514.6,0.0
2025-11-09 22:16:00+00:00,N,-18664.8,0.0
2025-11-09 21:46:00+00:00,B1,-92.3,0.0
2025-11-09 21:46:00+00:00,B10,-1401.8,0.0
2025-11-09 21:46:00+00:00,B11,-3219.2,0.0
2025-11-09 21:46:00+00:00,B12,-2929.3,0.0
2025-11-09 21:46:00+00:00,B13,-587.0,0.0
2025-11-09 21:46:00+00:00,B14,-2038.5,0.0
2025-11-09 21:46:00+00:00,B15,-820.2,0.0
2025-11-09 21:46:00+00:00,B16,-4039.3,0.0
2025-11-09 21:46:00+00:00,B17,-1270.4,0.0
2025-11-09 21:46:00+00:00,B2,-204.8,0.0
2025-11-09 21:46:00+00:00,B3,-117.5,0.0
2025-11-09 21:46:00+00:00,B4,-335.3,0.0
2025-11-09 21:46:00+00:00,B5,-599.4,0.0
2025-11-09 21:46:00+00:00,B6,-1561.6,0.0
2025-11-09 21:46:00+00:00,B7,-2133.4,0.0
2025-11-09 21:46:00+00:00,B8,-5424.5,0.0
2025-11-09 21:46:00+00:00,B9,-7515.0,0.0
2025-11-09 21:46:00+00:00,N,-18661.8,0.0
2025-11-09 21:17:00+00:00,B1,-92.2,0.0
2025-11-09 21:17:00+00:00,B10,-1401.6,0.0
2025-11-09 21:17:00+00:00,B11,-3217.8,0.0
2025-11-09 21:17:00+00:00,B12,-2928.7,0.0
2025-11-09 21:17:00+00:00,B13,-586.6,0.0
2025-11-09 21:17:00+00:00,B14,-2037.7,0.0
2025-11-09 21:17:00+00:00,B15,-826.0,0.0
2025-11-09 21:17:00+00:00,B16,-4038.2,0.0
2025-11-09 21:17:00+00:00,B17,-1269.3,0.0
2025-11-09 21:17:00+00:00,B2,-204.5,0.0
2025-11-09 21:17:00+00:00,B3,-117.4,0.0
2025-11-09 21:17:00+00:00,B4,-334.9,0.0
2025-11-09 21:17:00+00:00,B5,-598.3,0.0
2025-11-09 21:17:00+00:00,B6,-1560.8,0.0
2025-11-09 21:17:00+00:00,B7,-2132.2,0.0
2025-11-09 21:17:00+00:00,B8,-5426.5,0.0
2025-11-09 21:17:00+00:00,B9,-7516.1,0.0
2025-11-09 21:17:00+00:00,N,-18667.6,0.0
2025-11-09 20:47:00+00:00,B1,-92.1,0.0
2025-11-09 20:47:00+00:00,B10,-1401.5,0.0
2025-11-09 20:47:00+00:00,B11,-3219.8,0.0
2025-11-09 20:47:00+00:00,B12,-2929.6,0.0
2025-11-09 20:47:00+00:00,B13,-586.9,0.0
2025-11-09 20:47:00+00:00,B14,-2037.9,0.0
2025-11-09 20:47:00+00:00,B15,-830.5,0.0
2025-11-09 20:47:00+00:00,B16,-4043.6,0.0
2025-11-09 20:47:00+00:00,B17,-1269.1,0.0
2025-11-09 20:47:00+00:00,B2,-204.5,0.0
2025-11-09 20:47:00+00:00,B3,-117.2,0.0
2025-11-09 20:47:00+00:00,B4,-334.6,0.0
2025-11-09 20:47:00+00:00,B5,-598.5,0.0
2025-11-09 20:47:00+00:00,B6,-1563.5,0.0
2025-11-09 20:47:00+00:00,B7,-2134.7,0.0
2025-11-09 20:47:00+00:00,B8,-5431.9,0.0
2025-11-09 20:47:00+00:00,B9,-7524.6,0.0
2025-11-09 20:47:00+00:00,N,-18687.7,0.0
2025-11-09 20:17:00+00:00,B1,-91.9,0.0
2025-11-09 20:17:00+00:00,B10,-1402.9,0.0
2025-11-09 20:17:00+00:00,B11,-3223.2,0.0
2025-11-09 20:17:00+00:00,B12,-2930.7,0.0
2025-11-09 20:17:00+00:00,B13,-587.5,0.0
2025-11-09 20:17:00+00:00,B14,-2039.2,0.0
2025-11-09 20:17:00+00:00,B15,-836.0,0.0
2025-11-09 20:17:00+00:00,B16,-4049.7,0.0
2025-11-09 20:17:00+00:00,B17,-1269.7,0.0
2025-11-09 20:17:00+00:00,B2,-204.2,0.0
2025-11-09 20:17:00+00:00,B3,-117.1,0.0
2025-11-09 20:17:00+00:00,B4,-334.3,0.0
2025-11-09 20:17:00+00:00,B5,-598.5,0.0
2025-11-09 20:17:00+00:00,B6,-1566.3,0.0
2025-11-09 20:17:00+00:00,B7,-2137.8,0.0
2025-11-09 20:17:00+00:00,B8,-5440.1,0.0
2025-11-09 20:17:00+00:00,B9,-7536.2,0.0
2025-11-09 20:17:00+00:00,N,-18719.3,0.0
2025-11-09 19:47:00+00:00,B1,-91.8,0.0
2025-11-09 19:47:00+00:00,B10,-1405.1,0.0
2025-11-09 19:47:00+00:00,B11,-3227.5,0.0
2025-11-09 19:47:00+00:00,B12,-2933.2,0.0
2025-11-09 19:47:00+00:00,B13,-588.5,0.0
2025-11-09 19:47:00+00:00,B14,-2041.6,0.0
2025-11-09 19:47:00+00:00,B15,-835.8,0.0
2025-11-09 19:47:00+00:00,B16,-4056.6,0.0
2025-11-09 19:47:00+00:00,B17,-1271.0,0.0
2025-11-09 19:47:00+00:00,B2,-204.2,0.0
2025-11-09 19:47:00+00:00,B3,-117.1,0.0
2025-11-09 19:47:00+00:00,B4,-334.2,0.0
2025-11-09 19:47:00+00:00,B5,-598.8,0.0
2025-11-09 19:47:00+00:00,B6,-1569.6,0.0
2025-11-09 19:47:00+00:00,B7,-2141.5,0.0
2025-11-09 19:47:00+00:00,B8,-5450.0,0.0
2025-11-09 19:47:00+00:00,B9,-7550.0,0.0
2025-11-09 19:47:00+00:00,N,-18757.2,0.0
2025-11-09 19:17:00+00:00,B1,-91.8,0.0
2025-11-09 19:17:00+00:00,B10,-1407.6,0.0
2025-11-09 19:17:00+00:00,B11,-3232.7,0.0
2025-11-09 19:17:00+00:00,B12,-2938.2,0.0
2025-11-09 19:17:00+00:00,B13,-589.7,0.0
2025-11-09 19:17:00+00:00,B14,-2044.5,0.0
2025-11-09 19:17:00+00:00,B15,-846.2,0.0
2025-11-09 19:17:00+00:00,B16,-4065.0,0.0
2025-11-09 19:17:00+00:00,B17,-1272.7,0.0
2025-11-09 19:17:00+00:00,B2,-204.2,0.0
2025-11-09 19:17:00+00:00,B3,-117.1,0.0
2025-11-09 19:17:00+00:00,B4,-334.1,0.0
2025-11-09 19:17:00+00:00,B5,-599.5,0.0
2025-11-09 19:17:00+00:00,B6,-1573.4,0.0
