Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP,CMP345/350 Deferred Costs
Sep-21,12.13031962,83.53094252,10.1748776,28.8271601,7.087065584,1.852250714,0,1.278795852,13.51972872,25.75540323,1.0830125,6.711532377,2.04417659,3.771780822,197.7670462,38.16667331,23.26027397,0.0,5.880609137,37.7664764,1.67,1.745967616
Oct-21,13.36458978,16.37231884,6.226388327,73.03922572,12.52777604,2.972596,0,1.210690085,19.29860864,28.56860887,0.886843321,7.455310693,3.082068391,3.824657534,188.8296823,40.7483452,24.03561644,5.777478229,5.450943894,88.53959776,1.67,1.804166537
Nov-21,12.83547689,16.14733682,7.428685335,82.12977415,11.469199,3.567115,0,0.502129387,19.25621699,27.93633286,0.916175573,7.16570812,1.55543253,3.828767123,194.7383498,48.75424973,23.26027397,5.591107964,4.656121273,97.16608815,1.67,1.745967616
Dec-21,13.15414978,18.85168112,7.470250666,70.15034872,10.426545,2.529869,0,0.467609764,20.23757826,28.63641264,0.882285583,7.783751642,2.032935002,3.832876712,186.4562939,49.68226405,24.03561644,5.777478229,4.422977883,83.10676272,1.67,1.804166537
Jan-22,13.94207978,21.09988493,7.574538827,46.33577372,8.914696,2.163038,0,0.643814364,20.49378882,28.43520927,0.851570155,7.720080224,0.460841963,3.836986301,162.4723024,53.73228459,24.03561644,5.777478229,3.643239163,57.41350772,1.67,1.804166537
Feb-22,14.62155231,20.94033321,6.5184684,104.3570043,7.550256586,1.831974345,0,0.119231031,17.92247563,26.12058693,0.890712455,6.347455595,2.251210838,3.84109589,213.3123575,44.70451251,21.70958904,5.218367433,5.447769589,113.7392352,1.67,1.629569775
Mar-22,9.833437012,18.20761728,7.399366707,109.5534615,6.323774924,1.534384429,0,0.223143885,19.91007924,28.70081088,1.043739528,6.807017386,0.284658128,3.845205479,213.6666964,45.98619204,24.03561644,5.777478229,5.370176277,117.4116209,1.67,1.804166537
Apr-22,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0,0.404275131,17.42509838,24.63887527,1.14423862,7.384320227,3.01394728,3.849315068,125.6926003,40.0353369,23.26027397,0.0,3.720535054,38.86935488,0.0,
May-22,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0,0.895486509,17.6410591,25.83889737,0.869565856,8.20503605,2.96319145,3.853424658,125.1714501,37.85580184,24.03561644,0.0,3.941458356,39.47555434,0.0,
Jun-22,8.178124146,10.83371286,5.434767887,25.67020605,10.76912097,2.782856,0,1.643863178,17.20171006,24.7544632,1.007946391,7.729806571,2.577322236,3.857534247,122.4414338,35.66265147,23.26027397,0.0,4.085554544,39.22218303,0.0,
Jul-22,9.303613618,10.97041804,5.962998065,25.98893925,11.52777604,2.972596,0,1.846568357,17.7507824,25.82500457,1.171890175,7.639224096,2.561929697,3.861643836,127.3833841,36.43757197,24.03561644,0.0,4.155573284,40.48931129,0.0,
Aug-22,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0,1.666469361,18.26582688,26.33305765,1.284052818,7.5067107,1.545159449,3.865753425,135.6708333,36.73089089,24.03561644,0.0,4.348014596,49.46046629,0.0,
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0,1.761269194,17.16214981,24.1291119,1.049152513,7.249991843,1.071485672,3.869863014,139.8806064,38.16667331,23.26027397,0.0,4.274432803,53.08101103,0.0,
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0,1.210690085,17.76984152,24.49189654,0.886843321,7.455310693,2.071198826,3.873972603,147.6489497,40.7483452,24.03561644,0.0,4.213289282,55.96425529,0.0,
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0,0.502129387,17.77676493,23.99112738,0.916175573,7.16570812,0.577171661,3.878082192,141.8231026,48.75424973,23.26027397,0.0,3.386030499,52.57704705,0.0,
Dec-22,11.11579362,18.85168112,7.470250666,33.57500625,10.426545,2.529869,0,0.467609764,18.70881114,24.55970031,0.882285583,7.783751642,1.022065437,3.882191781,141.2755613,49.68226405,24.03561644,0.0,3.327368044,46.53142025,0.0,
Jan-23,11.90372362,21.09988493,7.574538827,28.76043125,8.914696,2.163038,0,0.643814364,18.9650217,24.35849694,0.851570155,7.720080224,-0.550027602,3.88630137,136.2915698,53.73228459,24.03561644,0.0,2.983814804,39.83816525,0.0,
Feb-23,12.78045642,20.94033321,6.5184684,35.92700658,7.550256586,1.831974345,0,0.119231031,16.54165371,22.43839515,0.890712455,6.347455595,2.251210838,3.890410959,138.0275653,44.70451251,21.70958904,0.0,3.573177412,45.30923751,0.0,
Mar-23,10.79508085,13.20761728,7.399366707,33.79167836,6.323774924,1.534384429,0,0.223143885,18.38131211,24.62409855,1.043739528,6.807017386,0.284658128,3.894520548,128.3103927,45.98619204,24.03561644,0.0,3.312864196,41.64983771,0.0,
Apr-23,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0,0.404275131,14.46149353,19.69953385,1.14423862,7.384320227,3.01394728,3.898630137,117.8389691,40.0353369,23.26027397,0.0,3.524367572,38.86935488,0.0,
May-23,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0,0.895486509,14.57866742,20.73491124,0.869565856,8.20503605,2.96319145,3.902739726,117.0543873,37.85580184,24.03561644,0.0,3.727037783,39.47555434,0.0,
Jun-23,8.178124146,10.83371286,5.434767887,25.67020605,10.76912097,2.782856,0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.906849315,100.5823231,35.66265147,23.26027397,0.0,3.472613281,39.22218303,0.0,
Jul-23,9.303613618,10.97041804,5.962998065,25.98893925,11.52777604,2.972596,0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.910958904,104.7939926,36.43757197,24.03561644,0.0,3.535625513,40.48931129,0.0,
Aug-23,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.915068493,113.0814417,36.73089089,24.03561644,0.0,3.733017492,49.46046629,0.0,
